episode,total_reward,avg_wait,throughput,revenue,epsilon
1,-10741.0,23.561946902654867,452,584.0,0.223
2,-7921.0,18.606280193236714,414,540.0,0.0497
3,-11032.0,23.843091334894613,427,528.5,0.0111
4,-8418.0,17.946695095948826,469,571.5,0.01
5,-10674.0,24.708530805687204,422,539.5,0.01
6,-13279.0,28.78390804597701,435,552.0,0.01
7,-7677.0,16.068669527896997,466,594.5,0.01
8,-10699.0,23.65681818181818,440,561.5,0.01
9,-5786.0,13.5,420,523.5,0.01
10,-9139.0,20.17767653758542,439,560.0,0.01
11,-12285.0,26.023354564755838,471,596.0,0.01
12,-10620.0,24.71291866028708,418,554.5,0.01
13,-9746.0,21.941043083900226,441,586.0,0.01
14,-12592.0,28.71912832929782,413,571.5,0.01
15,-5840.0,13.654028436018958,422,561.0,0.01
16,-26926.0,54.573991031390136,446,629.5,0.01
17,-12630.0,27.184444444444445,450,572.0,0.01
18,-10044.0,22.501123595505618,445,549.0,0.01
19,-7069.0,16.241050119331742,419,536.0,0.01
20,-7505.0,16.151785714285715,448,553.5,0.01
21,-13455.0,26.141203703703702,432,577.5,0.01
22,-6298.0,14.27122641509434,424,539.0,0.01
23,-11304.0,25.137299771167047,437,566.0,0.01
24,-11858.0,25.329355608591886,419,567.0,0.01
25,-14627.0,31.973741794310722,457,588.5,0.01
26,-9045.0,20.27437641723356,441,587.0,0.01
27,-9980.0,23.56904761904762,420,541.0,0.01
28,-5815.0,13.42317380352645,397,500.0,0.01
29,-9109.0,18.754424778761063,452,584.5,0.01
30,-14554.0,28.7505376344086,465,588.5,0.01
31,-12396.0,27.19383259911894,454,583.5,0.01
32,-8930.0,18.830802603036876,461,574.0,0.01
33,-9403.0,19.27173913043478,460,589.0,0.01
34,-7204.0,16.013452914798208,446,547.5,0.01
35,-8739.0,17.87991266375546,458,569.0,0.01
36,-7678.0,18.29901960784314,408,539.5,0.01
37,-15242.0,35.70283018867924,424,596.5,0.01
38,-7441.0,17.52744630071599,419,556.5,0.01
39,-9361.0,20.93002257336343,443,594.5,0.01
40,-7547.0,16.13015184381779,461,590.0,0.01
41,-6726.0,15.117647058823529,442,567.0,0.01
42,-4150.0,9.817307692307692,416,515.0,0.01
43,-9359.0,18.389867841409693,454,579.0,0.01
44,-8531.0,20.023809523809526,420,533.0,0.01
45,-16802.0,35.80846325167038,449,604.0,0.01
46,-5999.0,14.04066985645933,418,543.5,0.01
47,-7386.0,17.45390070921986,423,559.0,0.01
48,-8734.0,18.79862700228833,437,559.5,0.01
49,-11177.0,25.211845102505695,439,570.0,0.01
50,-5982.0,14.057007125890737,421,556.0,0.01
51,-13034.0,25.906318082788673,459,614.0,0.01
52,-8784.0,20.508235294117647,425,539.5,0.01
53,-10542.0,21.03160270880361,443,570.0,0.01
54,-7944.0,17.263279445727484,433,536.0,0.01
55,-8778.0,17.755196304849886,433,542.5,0.01
56,-4682.0,10.568181818181818,440,537.0,0.01
57,-7720.0,16.270693512304252,447,568.5,0.01
58,-5545.0,12.239080459770115,435,547.5,0.01
59,-7288.0,16.552204176334108,431,568.5,0.01
60,-7469.0,16.123853211009173,436,573.5,0.01
61,-8686.0,19.647597254004577,437,582.0,0.01
62,-14259.0,29.088421052631578,475,625.0,0.01
63,-19266.0,40.39915966386555,476,617.0,0.01
64,-11912.0,26.518099547511312,442,579.0,0.01
65,-7487.0,16.598639455782312,441,557.5,0.01
66,-7265.0,16.56712962962963,432,539.0,0.01
67,-9011.0,19.24,450,583.5,0.01
68,-6426.0,14.286713286713287,429,538.0,0.01
69,-10974.0,24.548532731376977,443,575.0,0.01
70,-5731.0,13.290697674418604,430,555.5,0.01
71,-5530.0,13.46633416458853,401,515.5,0.01
72,-11380.0,24.31081081081081,444,565.0,0.01
73,-10181.0,23.201834862385322,436,590.5,0.01
74,-9640.0,21.73394495412844,436,565.0,0.01
75,-9889.0,20.86609071274298,463,571.0,0.01
76,-6121.0,14.781553398058252,412,517.0,0.01
77,-8458.0,18.205417607223477,443,575.0,0.01
78,-13339.0,29.123006833712985,439,551.5,0.01
79,-11264.0,24.13157894736842,456,614.0,0.01
80,-4835.0,10.8,410,500.0,0.01
81,-18121.0,39.15022421524664,446,594.5,0.01
82,-10804.0,22.093617021276597,470,592.0,0.01
83,-10654.0,22.949656750572082,437,568.5,0.01
84,-5267.0,11.302832244008714,459,549.0,0.01
85,-4747.0,11.12206572769953,426,519.5,0.01
86,-6727.0,14.868596881959911,449,565.0,0.01
87,-4687.0,11.105011933174225,419,530.0,0.01
88,-11239.0,24.265350877192983,456,592.0,0.01
89,-6151.0,14.627684964200478,419,563.5,0.01
90,-6455.0,14.4151376146789,436,560.5,0.01
91,-9316.0,20.923809523809524,420,581.0,0.01
92,-10767.0,23.008830022075056,453,579.5,0.01
93,-6931.0,15.494356659142213,443,595.5,0.01
94,-4112.0,9.220902612826603,421,537.0,0.01
95,-4823.0,11.190140845070422,426,549.0,0.01
96,-8206.0,18.00449438202247,445,594.0,0.01
97,-6239.0,14.652380952380952,420,539.5,0.01
98,-6281.0,14.449308755760368,434,551.5,0.01
99,-9872.0,20.49353448275862,464,601.5,0.01
100,-15223.0,33.23076923076923,442,582.0,0.01
101,-6841.0,15.779582366589327,431,579.0,0.01
102,-9406.0,21.184510250569478,439,586.5,0.01
103,-9601.0,20.319057815845824,467,587.5,0.01
104,-10012.0,20.98847926267281,434,603.0,0.01
105,-5139.0,11.951162790697675,430,534.0,0.01
106,-7885.0,17.69977426636569,443,577.0,0.01
107,-5609.0,12.141552511415526,438,547.0,0.01
108,-6686.0,14.299559471365638,454,590.0,0.01
109,-9254.0,20.12775330396476,454,591.5,0.01
110,-4717.0,10.494252873563218,435,553.0,0.01
111,-7954.0,18.093023255813954,430,551.0,0.01
112,-10311.0,21.871739130434783,460,588.5,0.01
113,-14340.0,29.01440329218107,486,599.5,0.01
114,-7936.0,16.962800875273523,457,565.0,0.01
115,-5911.0,13.69431279620853,422,548.5,0.01
116,-5633.0,13.268408551068884,421,540.0,0.01
117,-9903.0,21.132286995515695,446,578.0,0.01
118,-7633.0,16.251072961373392,466,623.0,0.01
119,-15684.0,32.46300211416491,473,634.5,0.01
120,-9430.0,20.57802197802198,455,566.5,0.01
121,-6850.0,15.317865429234338,431,570.0,0.01
122,-8800.0,20.235431235431236,429,585.5,0.01
123,-6401.0,14.133484162895927,442,582.5,0.01
124,-8619.0,18.728285077951004,449,565.5,0.01
125,-7728.0,15.596371882086167,441,566.0,0.01
126,-8177.0,17.93986636971047,449,556.0,0.01
127,-6103.0,13.85,440,547.0,0.01
128,-5522.0,12.56979405034325,437,545.5,0.01
129,-6696.0,15.22883295194508,437,568.5,0.01
130,-9220.0,20.721577726218097,431,538.5,0.01
131,-6851.0,15.095890410958905,438,585.5,0.01
132,-5592.0,13.336538461538462,416,531.0,0.01
133,-10824.0,22.936794582392775,443,595.0,0.01
134,-8433.0,19.037558685446008,426,544.0,0.01
135,-10145.0,22.726651480637813,439,553.5,0.01
136,-8541.0,18.120950323974082,463,608.0,0.01
137,-6794.0,15.470183486238533,436,565.5,0.01
138,-5128.0,11.429545454545455,440,570.5,0.01
139,-8875.0,18.73766816143498,446,580.5,0.01
140,-6356.0,13.468235294117648,425,559.0,0.01
141,-9328.0,21.21461187214612,438,589.0,0.01
142,-5570.0,13.239808153477219,417,553.5,0.01
143,-7947.0,17.93349168646081,421,559.0,0.01
144,-15546.0,31.6517094017094,468,605.0,0.01
145,-7440.0,15.915367483296214,449,561.5,0.01
146,-9695.0,21.583333333333332,444,590.5,0.01
147,-16376.0,34.17400419287212,477,610.0,0.01
148,-4448.0,9.948019801980198,404,544.5,0.01
149,-9742.0,19.855042016806724,476,627.0,0.01
150,-7372.0,16.510688836104514,421,524.5,0.01
151,-8968.0,19.297826086956523,460,586.0,0.01
152,-9158.0,19.267094017094017,468,596.5,0.01
153,-7019.0,16.254079254079254,429,565.5,0.01
154,-15426.0,31.942477876106196,452,631.5,0.01
155,-6226.0,13.457943925233645,428,550.5,0.01
156,-8466.0,17.442516268980476,461,600.5,0.01
157,-4006.0,9.109557109557109,429,535.5,0.01
158,-4709.0,10.955607476635514,428,548.0,0.01
159,-7697.0,17.284424379232505,443,594.0,0.01
160,-4555.0,10.345070422535212,426,535.5,0.01
161,-4173.0,9.75175644028103,427,543.5,0.01
162,-9930.0,21.046808510638296,470,601.0,0.01
163,-11425.0,23.675675675675677,444,567.0,0.01
164,-9254.0,20.06387665198238,454,592.0,0.01
165,-7829.0,17.80324074074074,432,545.5,0.01
166,-9667.0,20.59259259259259,459,569.5,0.01
167,-6472.0,14.607709750566894,441,543.5,0.01
168,-6855.0,15.37528604118993,437,570.0,0.01
169,-22034.0,46.58874458874459,462,607.5,0.01
170,-10119.0,22.208520179372197,446,593.0,0.01
171,-3682.0,8.46933962264151,424,555.5,0.01
172,-8563.0,18.80666666666667,450,598.0,0.01
173,-4685.0,11.09976247030879,421,535.5,0.01
174,-6605.0,14.52980132450331,453,605.5,0.01
175,-10064.0,21.481152993348115,451,595.5,0.01
176,-5468.0,13.251833740831296,409,544.0,0.01
177,-3414.0,7.903301886792453,424,545.5,0.01
178,-11442.0,21.48060344827586,464,634.5,0.01
179,-5130.0,11.177272727272728,440,542.0,0.01
180,-9952.0,21.480725623582767,441,616.5,0.01
181,-11854.0,24.035490605427974,479,623.5,0.01
182,-5831.0,12.278617710583154,463,597.0,0.01
183,-7709.0,17.033185840707965,452,577.0,0.01
184,-9499.0,20.02375809935205,463,596.0,0.01
185,-6425.0,13.986725663716815,452,575.0,0.01
186,-5191.0,11.497757847533633,446,556.0,0.01
187,-7976.0,17.87272727272727,440,575.5,0.01
188,-8280.0,18.444444444444443,441,551.0,0.01
189,-5007.0,11.89047619047619,420,571.5,0.01
190,-6274.0,14.954545454545455,418,539.5,0.01
191,-14326.0,30.98051948051948,462,627.0,0.01
192,-8504.0,18.564551422319475,457,598.5,0.01
193,-6308.0,14.52112676056338,426,551.5,0.01
194,-4715.0,10.50925925925926,432,537.5,0.01
195,-4631.0,10.945497630331754,422,532.5,0.01
196,-6443.0,14.22,450,575.5,0.01
197,-5823.0,13.52112676056338,426,570.0,0.01
198,-5726.0,12.752783964365257,449,562.5,0.01
199,-7427.0,14.505592841163311,447,587.0,0.01
200,-3683.0,8.544811320754716,424,520.5,0.01
201,-4543.0,10.016355140186915,428,540.0,0.01
202,-9375.0,20.25109170305677,458,584.5,0.01
203,-8293.0,18.509132420091323,438,577.5,0.01
204,-3407.0,8.180722891566266,415,527.5,0.01
205,-9063.0,21.465558194774346,421,550.5,0.01
206,-5285.0,11.696230598669622,451,584.5,0.01
207,-6515.0,14.435555555555556,450,583.5,0.01
208,-7318.0,16.380047505938244,421,549.5,0.01
209,-12888.0,27.796536796536795,462,622.0,0.01
210,-7770.0,16.226781857451403,463,614.5,0.01
211,-7181.0,14.655092592592593,432,573.0,0.01
212,-5380.0,12.905109489051094,411,527.0,0.01
213,-10971.0,24.165158371040725,442,594.5,0.01
214,-10394.0,22.152654867256636,452,597.5,0.01
215,-8273.0,18.503370786516854,445,580.5,0.01
216,-8103.0,17.579646017699115,452,582.5,0.01
217,-7031.0,15.067757009345794,428,563.0,0.01
218,-5627.0,12.389021479713604,419,549.5,0.01
219,-8297.0,18.697516930022573,443,581.0,0.01
220,-4808.0,10.93006993006993,429,530.5,0.01
221,-7734.0,16.909706546275395,443,580.0,0.01
222,-10063.0,22.08869179600887,451,595.5,0.01
223,-10402.0,22.23175965665236,466,585.0,0.01
224,-5882.0,13.127232142857142,448,567.0,0.01
225,-7389.0,16.59294117647059,425,558.5,0.01
226,-6513.0,14.1859410430839,441,577.0,0.01
227,-6909.0,14.815217391304348,460,585.5,0.01
228,-9605.0,20.47032967032967,455,590.0,0.01
229,-5019.0,11.49537037037037,432,557.5,0.01
230,-11023.0,24.77097505668934,441,582.0,0.01
231,-3935.0,9.039443155452437,431,534.5,0.01
232,-6627.0,14.986332574031891,439,564.5,0.01
233,-7908.0,18.406542056074766,428,585.5,0.01
234,-6755.0,15.015730337078653,445,569.0,0.01
235,-5249.0,11.21377672209026,421,549.5,0.01
236,-8414.0,18.90293453724605,443,575.0,0.01
237,-4712.0,9.988938053097344,452,587.0,0.01
238,-6049.0,13.252747252747254,455,573.5,0.01
239,-6769.0,14.344226579520697,459,602.0,0.01
240,-10228.0,20.869757174392937,453,607.5,0.01
241,-4699.0,10.325942350332594,451,594.0,0.01
242,-7388.0,16.607223476297968,443,591.5,0.01
243,-5979.0,12.848214285714286,448,572.5,0.01
244,-3637.0,8.161214953271028,428,572.0,0.01
245,-6598.0,14.204444444444444,450,587.5,0.01
246,-5044.0,11.141906873614191,451,564.0,0.01
247,-6289.0,13.90249433106576,441,565.5,0.01
248,-4288.0,9.94199535962877,431,561.5,0.01
249,-11602.0,25.86936936936937,444,584.0,0.01
250,-3749.0,8.647783251231527,406,521.0,0.01
251,-6685.0,15.280459770114943,435,604.5,0.01
252,-2961.0,6.873239436619718,426,510.5,0.01
253,-6545.0,15.734939759036145,415,543.0,0.01
254,-6769.0,15.107142857142858,448,577.0,0.01
255,-5817.0,12.953271028037383,428,559.5,0.01
256,-4238.0,9.484304932735427,446,567.0,0.01
257,-3931.0,9.046189376443419,433,555.5,0.01
258,-3951.0,8.816742081447964,442,542.0,0.01
259,-4704.0,10.589164785553047,443,581.0,0.01
260,-3000.0,7.002375296912114,421,543.5,0.01
261,-2506.0,6.165841584158416,404,519.5,0.01
262,-3113.0,7.424460431654676,417,534.0,0.01
263,-7327.0,16.440449438202247,445,586.0,0.01
264,-6260.0,14.330232558139535,430,556.0,0.01
265,-10368.0,22.04710920770878,467,605.5,0.01
266,-3627.0,8.10135135135135,444,545.0,0.01
267,-10753.0,23.436681222707424,458,595.0,0.01
268,-8294.0,17.08744394618834,446,580.5,0.01
269,-3881.0,8.70615034168565,439,548.0,0.01
270,-5168.0,11.023861171366594,461,578.5,0.01
271,-4467.0,10.077803203661327,437,546.5,0.01
