episode,total_reward,avg_wait,throughput,revenue,epsilon
1,-12808.0,26.810752688172045,465,608.5,0.223
2,-5844.0,14.098522167487685,406,506.5,0.0497
3,-7669.0,16.124454148471617,458,575.5,0.0111
4,-12970.0,29.272935779816514,436,570.5,0.01
5,-8448.0,19.329383886255926,422,550.5,0.01
6,-12001.0,24.82875264270613,473,592.0,0.01
7,-7035.0,16.15437788018433,434,552.5,0.01
8,-14491.0,32.39325842696629,445,602.0,0.01
9,-9581.0,21.340476190476192,420,561.0,0.01
10,-7287.0,15.45475113122172,442,527.5,0.01
11,-5802.0,13.210280373831775,428,543.5,0.01
12,-7791.0,17.192393736017898,447,540.5,0.01
13,-14725.0,32.757990867579906,438,585.5,0.01
14,-12765.0,29.11943793911007,427,559.5,0.01
15,-7517.0,17.31336405529954,434,527.5,0.01
16,-16887.0,37.986486486486484,444,575.5,0.01
17,-11322.0,24.825991189427313,454,581.0,0.01
18,-12677.0,26.21513002364066,423,562.0,0.01
19,-9501.0,20.794701986754966,453,599.0,0.01
20,-10963.0,24.00451467268623,443,588.0,0.01
21,-8098.0,17.74259681093394,439,567.0,0.01
22,-4581.0,10.419597989949748,398,514.0,0.01
23,-14176.0,32.62559241706161,422,568.0,0.01
24,-7958.0,17.14254859611231,463,589.5,0.01
25,-7730.0,16.817102137767222,421,526.0,0.01
26,-5870.0,14.024752475247524,404,532.0,0.01
27,-10583.0,22.395927601809955,442,586.0,0.01
28,-8651.0,19.48409090909091,440,585.0,0.01
29,-7652.0,17.740046838407494,427,554.5,0.01
30,-5808.0,13.476190476190476,420,529.0,0.01
31,-4553.0,10.965601965601966,407,532.0,0.01
32,-6156.0,14.91970802919708,411,534.5,0.01
33,-7796.0,17.813793103448276,435,552.5,0.01
34,-5442.0,11.988262910798122,426,535.5,0.01
35,-7881.0,16.19450317124736,473,588.5,0.01
36,-8018.0,18.43559718969555,427,566.5,0.01
37,-7485.0,16.44789356984479,451,567.5,0.01
38,-10615.0,21.742081447963802,442,585.5,0.01
39,-6835.0,15.658256880733944,436,556.0,0.01
40,-6846.0,16.26987951807229,415,556.5,0.01
41,-7560.0,16.391304347826086,460,604.0,0.01
42,-20925.0,43.35443037974684,474,640.0,0.01
43,-12399.0,25.057553956834532,417,563.0,0.01
44,-4743.0,10.933806146572104,423,526.0,0.01
45,-9028.0,19.503496503496503,429,545.0,0.01
46,-7353.0,17.072429906542055,428,547.5,0.01
47,-15784.0,33.83073496659243,449,589.0,0.01
48,-11120.0,23.0109409190372,457,573.5,0.01
49,-8990.0,18.72300469483568,426,552.5,0.01
50,-9869.0,21.514348785871963,453,586.5,0.01
51,-12780.0,30.18465227817746,417,556.5,0.01
52,-9585.0,20.829694323144103,458,579.5,0.01
53,-11333.0,24.8490990990991,444,594.0,0.01
54,-5908.0,14.02375296912114,421,541.5,0.01
55,-13909.0,30.34675615212528,447,596.5,0.01
56,-6208.0,13.518604651162791,430,553.5,0.01
57,-8113.0,17.414414414414413,444,563.0,0.01
58,-6278.0,14.168181818181818,440,571.0,0.01
59,-10693.0,24.995305164319248,426,568.0,0.01
60,-7212.0,16.074074074074073,432,568.0,0.01
61,-7481.0,16.631221719457013,442,574.5,0.01
62,-11961.0,26.111607142857142,448,570.5,0.01
63,-11591.0,24.982570806100217,459,590.5,0.01
64,-10332.0,21.866812227074234,458,574.0,0.01
65,-8947.0,19.054347826086957,460,601.5,0.01
66,-9326.0,20.43946188340807,446,587.5,0.01
67,-6216.0,14.31159420289855,414,544.0,0.01
68,-27747.0,57.232104121475054,461,617.0,0.01
69,-11237.0,24.97722095671982,439,570.5,0.01
70,-7977.0,17.675990675990676,429,567.0,0.01
71,-13528.0,26.83564814814815,432,577.5,0.01
72,-8581.0,19.032332563510394,433,573.5,0.01
73,-7693.0,15.698072805139187,467,580.5,0.01
74,-14200.0,30.808988764044944,445,589.5,0.01
75,-10624.0,22.70469798657718,447,590.5,0.01
76,-8854.0,20.588785046728972,428,555.5,0.01
77,-6272.0,14.190909090909091,440,555.0,0.01
78,-6262.0,14.125570776255708,438,544.0,0.01
79,-9163.0,20.042505592841163,447,587.5,0.01
80,-10071.0,22.501123595505618,445,588.5,0.01
81,-6852.0,15.179723502304148,434,560.5,0.01
82,-5648.0,12.767605633802816,426,521.5,0.01
83,-6791.0,14.327548806941431,461,593.0,0.01
84,-9942.0,21.99109131403118,449,573.0,0.01
85,-13303.0,27.96445497630332,422,585.5,0.01
86,-8410.0,18.518433179723502,434,577.5,0.01
87,-5752.0,12.522458628841608,423,545.5,0.01
88,-9857.0,21.741721854304636,453,598.5,0.01
89,-5806.0,13.059090909090909,440,554.5,0.01
90,-10691.0,22.091903719912473,457,619.5,0.01
91,-14041.0,28.574736842105263,475,605.5,0.01
92,-4588.0,9.98896247240618,453,523.5,0.01
93,-7951.0,17.69425287356322,435,578.5,0.01
94,-7905.0,17.07606263982103,447,575.5,0.01
95,-12607.0,27.442477876106196,452,592.0,0.01
